Ship Mode,Segment,Order Date,Sales
First Class,Consumer,41289,149.95
First Class,Consumer,41501,243.6
First Class,Consumer,41632,9.568
First Class,Consumer,41371,8.96
First Class,Consumer,41413,34.2
First Class,Consumer,41522,31.984
First Class,Consumer,41498,286.65
First Class,Consumer,41460,514.03
First Class,Consumer,41394,1000.95
First Class,Consumer,41356,9.912
First Class,Consumer,41638,39.128
First Class,Consumer,41747,106.5
First Class,Consumer,41964,18.176
First Class,Consumer,41996,194.32
First Class,Consumer,41721,59.48
First Class,Consumer,41942,182.91
First Class,Consumer,41745,2298.9
First Class,Consumer,41945,197.72
First Class,Consumer,41973,440.144
First Class,Consumer,41965,32.985
First Class,Consumer,41984,196.62
First Class,Consumer,41994,47.976
First Class,Consumer,42348,1056.86
First Class,Consumer,42210,73.2
First Class,Consumer,42047,1366.04
First Class,Consumer,42231,15.552
First Class,Consumer,42160,75.88
First Class,Consumer,42344,191.82
First Class,Consumer,42230,125.92
First Class,Consumer,42355,34.944
First Class,Consumer,42170,58.4
First Class,Consumer,42130,79.14
First Class,Consumer,42155,3.282
First Class,Consumer,42165,695.7
First Class,Consumer,42314,1120.73
First Class,Consumer,42328,18.48
First Class,Consumer,42126,377.346
First Class,Consumer,42656,1541.51
First Class,Consumer,42729,141
First Class,Consumer,42722,12.672
First Class,Consumer,42725,71
First Class,Consumer,42491,318.96
First Class,Consumer,42624,34.504
First Class,Consumer,42685,88.92
First Class,Consumer,42636,251.64
First Class,Consumer,42694,52.696
First Class,Consumer,42469,284.19
First Class,Consumer,42407,359.97
First Class,Consumer,42520,253.86
First Class,Consumer,42475,4.89
First Class,Consumer,42583,271.96
First Class,Consumer,42384,29.664
First Class,Consumer,42706,701.96
First Class,Consumer,42541,4.464
First Class,Consumer,42496,54.66
First Class,Consumer,42723,1665.62
First Class,Consumer,42714,19.104
First Class,Consumer,42635,726.91
First Class,Consumer,42652,10.816
First Class,Consumer,42637,79
First Class,Consumer,41448,23.12
First Class,Consumer,41805,11.672
First Class,Consumer,42103,354.9
First Class,Consumer,42226,645.136
First Class,Consumer,42300,39.92
First Class,Consumer,42334,59.98
First Class,Consumer,42215,2.214
First Class,Consumer,42090,187.616
First Class,Consumer,42162,678.87
First Class,Consumer,42706,34.65
First Class,Consumer,42543,37.608
First Class,Consumer,42656,348.56
First Class,Corporate,41460,242.546
First Class,Corporate,41352,590.762
First Class,Corporate,41280,12.78
First Class,Corporate,41399,47.32
First Class,Corporate,41513,1812.01
First Class,Corporate,41600,9.96
First Class,Corporate,41311,321.56
First Class,Corporate,41525,116.85
First Class,Corporate,41567,426.942
First Class,Corporate,41676,176.63
First Class,Corporate,41801,3165.744
First Class,Corporate,41864,64.68
First Class,Corporate,41822,246.364
First Class,Corporate,41957,860.07
First Class,Corporate,41808,670.001
First Class,Corporate,41973,17.088
First Class,Corporate,42130,14.352
First Class,Corporate,42168,224.9
First Class,Corporate,42335,3236.41
First Class,Corporate,42303,783.96
First Class,Corporate,42243,31.008
First Class,Corporate,42092,31.4
First Class,Corporate,42372,740.214
First Class,Corporate,42627,1017.136
First Class,Corporate,42587,13.76
First Class,Corporate,42476,503.22
First Class,Corporate,42516,234.2
First Class,Corporate,42554,9.552
First Class,Corporate,42461,127.95
First Class,Corporate,42499,272.232
First Class,Corporate,42678,1883.724
First Class,Corporate,42437,668.54
First Class,Corporate,42508,524.85
First Class,Corporate,42475,15.57
First Class,Corporate,41978,97.424
First Class,Corporate,42251,87.28
First Class,Corporate,42036,56.45
First Class,Corporate,42315,368.432
First Class,Corporate,42566,1065.84
First Class,Corporate,42609,2.896
First Class,Home Office,41560,389.74
