Ship Mode,First Class,,,Same Day,,,Second Class,,,Standard Class,,
Segment,Consumer,Corporate,Home Office,Consumer,Corporate,Home Office,Consumer,Corporate,Home Office,Consumer,Corporate,Home Office
Order Date,,,,,,,,,,,,
41347,,,,,,,,,,,,91.056
41624,,,,,,,129.44,,,,,
41427,,,,,,,,,,605.47,,
41568,,,,,,,,,,,788.86,
41513,,,,,,,13.36,,,,,
41606,,,,,,,,542.34,,,,
41364,,,,,,,,,,,1.869,
41599,,,,,,,,,,,865.5,
41579,,,,,,,,,,,1044.44,
41369,,,,,,,,4251.92,,,,
41460,,242.546,,,,,,,,,,
41289,149.95,,,,,,,,,,,
41610,,,,,,,,,,,21.19,
41352,,590.762,,,,,,,,,,
41452,,,,,,,,,,616.14,,
41280,,12.78,,,,,,,,,,
41408,,,,,,,,,,,310.88,
41620,,,,,,,,,,23.472,,
41393,,,,,,,,,,,661.504,
41571,,,,,,,,,,,,10.368
41501,243.6,,,,,,,,,,,
41287,,,,,,,545.94,,,,,
41389,,,,,,,,,,302.376,,
41565,,,,,,,,2216.8,,,,
41295,,,,,,,25.248,,,,,
41503,,,,,,,,,,,484.79,
41399,,47.32,,,,,,,,,,
41624,,,,,,,,,,,1.167,
41571,,,,11.85,,,,,,,,
41632,9.568,,,,,,,,,,,
41558,,,,,,,,,,,16.23,
41506,,,,,,,,,,,1417.35,
41545,,,,,,,,,,337.088,,
41344,,,,,,,,782.63,,,,
41565,,,,,,,,,,,605.34,
41492,,,,,,,62.91,,,,,
41481,,,,,,,,,,256.48,,
41337,,,,354.9,,,,,,,,
41593,,,,,,,,,,362.176,,
41622,,,,,,,,,,186.304,,
41337,,,,,,,,,,15.552,,
41487,,,,,,,,,,,202.896,
41415,,,,,,,,,,,3333.9,
41510,,,,,,,,25.5,,,,
41580,,,,,,,,,,,,799.92
41627,,,,,,,1979.89,,,,,
41584,,,,,,,,,,43.68,,
41582,,,,,,,,66.616,,,,
41602,,,,,,,,,,,,111.15
41307,,,,,,,,,,199.296,,
41625,,,,,,,40.05,,,,,
41371,8.96,,,,,,,,,,,
41396,,,,,,,479.984,,,,,
41513,,1812.01,,,,,,,,,,
41545,,,,,,,,,,,106.944,
41600,,9.96,,,,,,,,,,
41536,,,,,,,,,,2692.329,,
41539,,,,,,,4.608,,,,,
41316,,,,,,,,,,1508.13,,
41525,,,,,,,,,,254.97,,
41371,,,,,,,,,,,752.92,
41600,,,,,,,,,,,1022.61,
41621,,,,,,,,12.39,,,,
41413,34.2,,,,,,,,,,,
41364,,,,1142.165,,,,,,,,
41508,,,,,,,7.632,,,,,
41609,,,,,,,,,,95.968,,
41483,,,,193.152,,,,,,,,
41311,,321.56,,,,,,,,,,
41560,,,389.74,,,,,,,,,
41434,,,,,,,1441.3,,,,,
41583,,,,,,,,,,,,47.79
41628,,,,,,,,,,732.312,,
41629,,,,,,,,,,,,18.24
41385,,,,,,,,,,,828.84,
41628,,,2884.37,,,,,,,,,
41522,31.984,,,,,,,,,,,
41556,,,,,,,,,,,88.768,
41613,,,,,,,,,,24.56,,
41529,,,,,,,,,,,192.424,
41459,,,,,,,,,,37.44,,
41407,,,405.456,,,,,,,,,
41547,,,,,,,,,,69.216,,
41393,,,,,,,69.9,,,,,
41555,,,,23.472,,,,,,,,
41562,,,,,,,,,,15.384,,
41416,,,,,,,,,,180.93,,
41351,,,,,,,,,,,,23661.228
41531,,,,,,,26.128,,,,,
41581,,,,,,,,,,147.344,,
41424,,,,,,,,,,,13.62,
41574,,,,,,,,,,,,22.32
41608,,,,,,,,,,,6.642,
41284,,,,,,,,,,,54.83,
41368,,,,,,,,,,,364.93,
41348,,,,,,,,,,370.782,,
41537,,,,,,,,,,,2.816,
41569,,,,,,,,,,,129.92,
41455,,,,310.688,,,,,,,,
41519,,,,,,,,,,1793.98,,
41579,,,,,,,,,,,75.16,
41460,,,,,,,,,,,4.368,
41635,,,,,,,,,,,521.92,
41624,,,,,,,,1015.816,,,,
41498,286.65,,,,,,,,,,,
41631,,,,,,,619.848,,,,,
41380,,,,,,,,,,,39.072,
41614,,,,,,,,,,42.208,,
41336,,,,,,,19.456,,,,,
41394,,,,,,,47.79,,,,,
41498,,,,,,,,,,,,457.744
41494,,,,,,,155.456,,,,,
41349,,,,,,,,,471.92,,,
41460,514.03,,,,,,,,,,,
41597,,,,,,,,,682.91,,,
41383,,,,,,,129.33,,,,,
41403,,,,,158.71,,,,,,,
41531,,,,,,,,,,149.56,,
41615,,,,,,,,,,105.52,,
41394,1000.95,,,,,,,,,,,
41366,,,,,,,,,,,177.68,
41456,,,,,,,,,,,581.104,
41592,,,,,,,,,,32.4,,
41287,,,,,,,,1287.26,,,,
41606,,,,,,,,,,14.67,,
41354,,,,,,,,,,,3769.56,
41525,,116.85,,,,,,,,,,
41366,,,,,,,,,,1220.67,,
41356,9.912,,,,,,,,,,,
